Judul;Pendapatan;Prediksi;Tahun
Teenage Mutant Ninja Turtles;485.004.754;191.204.754;2014
Bruce Almighty;484.592.874;242.829.261;2003
Rio;483.866.518;143.619.809;2011
Saving Private Ryan;482.349.603;217.049.603;1998
Rise of the Planet of the Apes;481.800.873;176.760.185;2011
Home Alone;477.063.114;285.761.243;1990
Star Wars: Episode VI - Return of the Jedi;475.347.111;309.306.177;1983
Charlie and the Chocolate Factory;474.968.763;206.459.076;2005
Hotel Transylvania 2;474.800.000;169.700.110;2015
Indiana Jones and the Last Crusade;474.310.887;197.171.806;1989
San Andreas;473.990.832;155.190.832;2015
It Chapter Two;473.093.228;211.593.228;2019
Wreck-It Ralph;471.222.889;189.422.889;2012
Jaws;471.203.004;260.000.000;1975
The Hangover;469.310.836;277.322.503;2009
The Lego Movie;468.060.692;257.760.692;2014
Bumblebee;467.989.645;127.195.589;2018
Star Trek Into Darkness;467.365.246;228.778.661;2013
The Matrix;465.343.787;171.479.930;1999
Pretty Woman;463.406.268;178.406.268;1990
Cars;461.983.149;244.082.982;2006
Gladiator;460.583.960;187.705.427;2000
X-Men: The Last Stand;460.435.291;234.362.462;2006
National Treasure: Book of Secrets;459.242.249;219.964.115;2007
Lucy;458.863.600;126.663.600;2014
Mission: Impossible;457.731.198;180.981.856;1996
300;456.068.181;210.614.939;2007
The Last Samurai;454.627.263;111.127.263;2003
Dying to Survive;451.183.391;6.752;2018
Ocean's Eleven;450.717.150;183.417.150;2001
My People. My Country;450.064.993;2.356.683;2019
Thor;449.326.618;181.030.624;2011
Pearl Harbor;449.220.945;198.542.554;2001
Tarzan;448.191.819;171.091.819;1999
La La Land;446.486.224;151.101.803;2016
Men in Black II;445.135.288;193.735.288;2002
The Bourne Ultimatum;444.100.035;227.471.070;2007
The Mummy Returns;443.280.904;202.019.785;2001
Alvin and the Chipmunks: The Squeakquel;443.140.005;219.614.612;2009
Les Misérables;441.809.770;148.809.770;2012
The Exorcist;441.306.145;232.906.145;1973
Mrs. Doubtfire;441.286.195;219.195.243;1993
Terminator Genisys;440.603.537;89.760.956;2015
Beauty and the Beast;440.118.382;218.967.620;1991
Warcraft;439.048.914;47.365.290;2016
A Star Is Born;436.188.866;215.288.866;2018
The Greatest Showman;434.993.183;174.340.174;2017
Terminator 3: Rise of the Machines;433.371.112;150.371.112;2003
Pokémon Detective Pikachu;433.005.346;144.105.346;2019
Die Another Day;431.971.116;160.942.139;2002
The Secret Life of Pets 2;430.051.293;158.874.395;2019
Cast Away;429.632.142;233.632.142;2000
Rampage;428.028.233;101.028.233;2018
The King's Speech;427.374.317;138.797.449;2010
The Matrix Revolutions;427.344.031;139.313.948;2003
The Intouchables;426.588.510;10.198.820;2011
Django Unchained;425.368.238;162.805.434;2012
Dances with Wolves;424.208.848;184.208.848;1990
The Chronicles of Narnia: Prince Caspian;419.665.568;141.621.490;2008
Bad Boys for Life;419.074.646;204.417.855;2020
Sex and the City;418.765.321;152.647.258;2008
The Captain;416.953.262;706.572;2019
The Mummy;415.933.406;155.385.488;1999
The Chronicles of Narnia: The Voyage of the Dawn Treader;415.686.217;104.386.950;2010
Jason Bourne;415.484.914;162.434.410;2016
The Wolverine;414.828.246;132.556.852;2013
Kingsman: The Secret Service;414.351.546;128.261.724;2015
Night at the Museum: Battle of the Smithsonian;413.106.170;177.243.721;2009
Batman;411.556.825;251.348.343;1989
The Bodyguard;411.006.740;122.006.740;1992
Pacific Rim;411.002.906;101.802.906;2013
Kingsman: The Golden Circle;410.902.662;100.234.838;2017
The Mummy;409.231.607;80.227.895;2017
Ice Age: Collision Course;408.579.038;64.063.008;2016
Twilight;408.424.673;193.962.473;2008
Signs;408.247.917;227.966.634;2002
X2: X-Men United;407.711.549;214.949.694;2003
Alita: Battle Angel;404.852.543;85.710.210;2019
Toy Story;404.265.438;222.498.679;1995
The Mummy: Tomb of the Dragon Emperor;403.449.830;102.491.776;2008
Prometheus;403.354.469;126.477.084;2012
Gone with the Wind;402.352.579;200.852.579;1939
TRON: Legacy;400.062.763;172.062.763;2010
Mission: Impossible III;398.479.497;134.029.801;2005
Grease;397.078.524;189.969.103;1978
